_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,does_the_utterance_make_sense,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say,does_the_utterance_make_sense_gold,flab_bad_content,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario_gold,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say_gold,scenario,utterance
1778009081,6/22/2018 21:13:08,false,3779499240,,6/22/2018 21:11:49,false,clixsense,0.9286,43937765,UKR,07,Kharkiv,188.163.88.33,No,2,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009081,6/22/2018 21:17:03,false,3779505992,,6/22/2018 21:16:13,false,elite,0.8571,44625082,PER,"","",190.234.168.234,Yes,1,5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009081,6/22/2018 21:18:20,false,3779508281,,6/22/2018 21:13:51,false,neodev,0.8333,44255430,VEN,"","",201.242.99.250,No,1,7,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009081,6/22/2018 21:30:25,false,3779534936,,6/22/2018 21:28:45,false,neodev,0.7857,44562650,VEN,"","",190.198.76.10,No,1,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009081,6/22/2018 21:32:40,false,3779540457,,6/22/2018 21:30:44,false,elite,0.7692,43966431,VEN,25,Caracas,186.167.244.5,No,2,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009082,6/22/2018 21:14:20,false,3779501161,,6/22/2018 21:13:36,false,neodev,0.8333,44445087,VEN,15,Agua Fria,190.79.96.169,No,1,1,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,ni en eso
1778009082,6/22/2018 21:19:49,false,3779511047,,6/22/2018 21:18:54,false,elite,0.8571,44625082,PER,"","",190.234.168.234,Yes,1,5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,ni en eso
1778009082,6/22/2018 21:22:34,false,3779516137,,6/22/2018 21:20:15,false,neodev,0.875,44517633,POL,80,Pilzno,77.254.150.72,No,1,1,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,ni en eso
1778009082,6/22/2018 21:28:29,false,3779529942,,6/22/2018 21:26:41,false,elite,0.7857,44268551,EGY,11,Cairo,217.54.8.238,Yes,1,1,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,ni en eso
1778009083,6/22/2018 21:31:53,false,3779538503,,6/22/2018 21:30:28,false,elite,0.7857,44268551,EGY,11,Cairo,217.54.8.238,Yes,6,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i looking to move immediately 
1778009083,6/22/2018 21:43:06,false,3779566528,,6/22/2018 21:41:43,false,neodev,0.8571,44608635,VEN,"","",190.77.252.75,Yes,5,5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i looking to move immediately 
1778009084,6/22/2018 21:26:39,false,3779525163,,6/22/2018 21:24:02,false,elite,0.7857,44268551,EGY,11,Cairo,217.54.8.238,Yes,2,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i looking to move immediately 
1778009084,6/22/2018 21:42:49,false,3779566034,,6/22/2018 21:41:20,false,neodev,0.7857,44630948,VEN,20,San Cristóbal,186.95.233.59,Yes,6,7,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i looking to move immediately 
1778009084,6/22/2018 21:43:53,false,3779568097,,6/22/2018 21:43:10,false,neodev,0.8571,44608635,VEN,"","",190.77.252.75,Yes,5,5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i looking to move immediately 
1778009085,6/22/2018 21:08:13,false,3779490468,,6/22/2018 21:04:51,false,clixsense,0.8333,44508118,JAM,08,Kingston,69.79.200.165,Yes,5,2,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how i looking to move immediately 
1778009085,6/22/2018 21:14:14,false,3779500935,,6/22/2018 21:13:27,false,elite,0.8571,44625082,PER,"","",190.234.168.234,Yes,5,5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how i looking to move immediately 
1778009085,6/22/2018 21:15:57,false,3779503991,,6/22/2018 21:14:50,false,clixsense,0.9286,43937765,UKR,07,Kharkiv,188.163.88.33,Yes,5,6,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how i looking to move immediately 
