_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,response_1,response_2,response_3,orig__created_at,orig__unit_id,_updated_at,attribute,response_1_gold,response_1_gold_reason,response_2_gold,response_2_gold_reason,response_3_gold,response_3_gold_reason,scenario
1774210950,6/20/18 0:36,3771918738,6/20/18 0:27,FALSE,elite,1,36569740,COL,,,167.0.65.54,Are pets allowed in this apartment?,Does the apartment allows pet?,Can pets be brought to the apartment?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:37,3771919560,6/20/18 0:34,FALSE,neodev,1,44040207,VEN,25,Caracas,186.167.244.221,I HAVE NO IDEA,I HAVE NO IDEA,I HAVE NO IDEA,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:47,3771941525,6/20/18 0:34,FALSE,elite,1,38487652,BRA,21,Campos,181.221.88.211,Would i have my pets in the apartment?,Are pets allowed in the apartment?,Are at least dogs allowed there?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:49,3771945368,6/20/18 0:31,FALSE,elite,1,34949514,VEN,15,Guarenas,186.14.56.49,The department allows pets?,Can I have my dog in the apartment?,Admit visits with pets?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:50,3771948213,6/20/18 0:41,FALSE,elite,1,43329961,VEN,13,Barquisimeto,190.142.82.174,Does the apartment allows pets?,The apartment has any policies about pets?,Can i have a pet in the apartment?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:51,3771950362,6/20/18 0:39,FALSE,neodev,1,44191180,VEN,7,Altamira,190.204.227.229,"Excuse me, would you like to know if this department accepts pets?",What kind of pets do you accept in this department?,what time can I get my pet out of the apartment?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:53,3771952419,6/20/18 0:41,FALSE,elite,1,44102178,VEN,25,Caracas,190.73.21.100,pets are allowed,can i take my dog,there is space for pets,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:54,3771955331,6/20/18 0:29,FALSE,neodev,1,42453053,VEN,25,Caracas,181.17.25.43,is pet allowed?,how many bedrooms the apartment has,how much is the rent?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:57,3771962084,6/20/18 0:33,FALSE,neodev,1,43807300,EGY,5,Tanta,197.246.229.127,Do you allow pets in here?,Can I bring my pets in here?,What is your policy on bringing pets to this apartment?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 0:58,3771962517,6/20/18 0:55,FALSE,neodev,1,43871002,VEN,4,Maracay,186.92.162.96,Pets in the apartment?,can I move with my pet?,allow pets?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 1:09,3771984253,6/20/18 1:04,FALSE,neodev,1,42510096,VEN,4,Turmero,190.37.65.201,Pets Allowed?,Do I own a pet and want to know if the apartment is allowed?,What is your policy regarding pets?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 1:11,3771988940,6/20/18 1:03,FALSE,elite,1,44329066,VEN,25,Caracas,201.208.197.121,reytery4trhrth,eryerheh,reyetuyrtjur,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
1774210950,6/20/18 1:11,3771990358,6/20/18 1:02,FALSE,neodev,1,43772050,VEN,,,190.200.57.193,"I have a dog, allow your entry?",Can I raise a cat in the apartment?,What kind of animals do you accept in the apartment?,2018-06-19T22:25:54+00:00,1774001292,2018-06-19T22:25:54+00:00,,,,,,,,Your want to know if an apartment allows pet 
