_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,response_1,response_2,response_3,scenario
1403461970,10/11/17 21:21,2909637246,10/11/17 21:14,FALSE,clixsense,1,10422922,PAK,5,Karachi,39.48.57.27,Your service is so bad.,I won't travel in your airlines another tme.,Your service is so mess. I would never suggest your airlines to anyone.,You are threatening to never to use this airline again
1403461970,10/11/17 23:06,2909795516,10/11/17 22:47,FALSE,clixsense,1,21764533,HRV,12,Rijeka,78.2.113.83,I will never use this airline again.,"Not only that I myself will never use your airline, I ll tell all my friends and collegues not to use your airline.",You are so bad that Ill never use your airline and Ill call the media for everyone to see and then sue you.,You are threatening to never to use this airline again
1403461970,10/11/17 22:31,2909748520,10/11/17 22:19,FALSE,clixsense,1,37780823,VEN,25,Caracas,190.39.8.228,"BECAUSE THEY TREAT ME SO EVIL, I WILL NOT USE THIS COMPANY TO STOP FLYING",THEY TREAT VERY EVIL TO PEOPLE AND ARE RETARDED NOT TO REPEAT THIS SERVCIO,YOUR DELAY IS IMPERDABLE DO NOT RETURN TO TRAVEL THIS COMPANY,You are threatening to never to use this airline again
1403461970,10/11/17 21:25,2909643979,10/11/17 21:17,FALSE,neodev,1,38372558,BRA,29,Goiania,200.163.232.161,If I have to pay any additional fees I will not fly more for this company.,Why do you usually delay the flights so much? They're going to lose customers.,I'll get in court if I lose my flight connection.,You are threatening to never to use this airline again
1403461970,10/11/17 22:31,2909748981,10/11/17 22:14,FALSE,clixsense,1,39078729,EGY,11,Cairo,41.237.4.122,"If you do not give me what I'm asking for, I'll book another flight with another airline",I will book on another air line,I will not book these airline again,You are threatening to never to use this airline again
1403461970,10/11/17 21:36,2909668685,10/11/17 21:16,FALSE,neodev,1,39257488,VEN,25,Caracas,186.167.242.20,not only that they should improve the service,they could send my complaint to their superiors,should improve their customer service,You are threatening to never to use this airline again
1403461970,10/11/17 22:24,2909740868,10/11/17 22:17,FALSE,clixsense,1,39517779,GRC,13,Thessaloníki,46.12.194.97,I will never use this company again!,I'm done with your airlines!,Never again with you!,You are threatening to never to use this airline again
1403461970,10/11/17 22:53,2909778130,10/11/17 22:46,FALSE,clixsense,1,39767721,RUS,73,Kazan,188.162.195.224,I this flight do not like!,"On this flight, poor service!",Give me a complaints book!,You are threatening to never to use this airline again
1403461970,10/11/17 21:58,2909706944,10/11/17 21:45,FALSE,neodev,1,40214667,VEN,18,Acarigua,186.91.118.158,"No volvere a usar esta aerolínea, Porque aparecen cargos adicionales?","No volveré a viajar con uds, cual es la causa de tanto retraso?","no recomendare esta aerolinea, porque no tiene servicios?",You are threatening to never to use this airline again
1403461970,10/11/17 21:53,2909696415,10/11/17 21:47,FALSE,clixsense,1,40597878,ESP,59,Leioa,85.86.226.145,What other airlines do you recommend?,Please change this,I hope this never happens again,You are threatening to never to use this airline again
1403461970,10/11/17 21:15,2909629212,10/11/17 21:14,FALSE,neodev,1,40956186,EGY,,,62.114.130.5,there are any direct flights,there are any direct flights,there are any direct flights,You are threatening to never to use this airline again
